pH,hxk,pgi,pfk,ald,tpi,gapdh,gapdhr,pgm,eno,pyk,pdc
6.19,"DF = 8, 4, 2, 1, ","DF = 2, 1, ","DF = 16, 8, 4, ","0","DF = 16, 8, ","DF = 16, 8, 4, 2, ","DF = 8, 4, 2, 1, ","DF = 4, 2, ","DF = 8, 4, 2, 1, ","DF = 16, 8, 4, 2, ","DF = 4, 2, 1, "
6.26,"DF = 8, 4, 2, 1, ","DF = 2, 1, ","DF = 16, 8, 4, ","0","0","DF = 16, 8, 4, 2, ","DF = 8, 4, 2, 1, ","DF = 4, 2, ","DF = 8, 4, 2, 1, ","DF = 16, 8, 4, 2, ","DF = 4, 2, 1, "
6.32,"DF = 8, 4, 2, 1, ","DF = 2, 1, ","DF = 16, 8, 4, ","DF = 8, 4, 2, ","DF = 16, 8, ","DF = 16, 8, 4, ","0","DF = 8, 4, ","DF = 8, 4, 2, 1, ","DF = 32, 16, 8, 4, ","DF = 4, 2, 1, "
6.41,"DF = 8, 4, 2, 1, ","DF = 2, 1, ","DF = 16, 8, 4, ","0","0","DF = 8, 4, 2, 1, ","DF = 8, 4, 2, 1, ","DF = 16, 8, ","DF = 8, 4, 2, 1, ","DF = 32, 16, 8, 4, ","DF = 4, 2, 1, "
6.6,"DF = 8, 4, 2, 1, ","DF = 2, 1, ","DF = 16, 8, 4, ","0","DF = 16, 8, ","DF = 8, 4, 2, 1, ","DF = 8, 4, 2, 1, ","DF = 16, 8, ","DF = 8, 4, 2, 1, ","DF = 32, 16, 8, 4, ","DF = 4, 2, 1, "
6.81,"DF = 8, 4, 2, 1, ","DF = 2, 1, ","DF = 16, 8, 4, ","DF = 8, 4, ","DF = 16, 8, ","DF = 8, 4, 2, 1, ","DF = 8, 4, 2, 1, ","DF = 16, 8, ","DF = 8, 4, 2, 1, ","DF = 32, 16, 8, 4, ","DF = 4, 2, 1, "
7.06,"DF = 8, 4, 2, 1, ","DF = 2, 1, ","DF = 16, 8, 4, ","DF = 8, 4, ","0","DF = 8, 4, 2, 1, ","DF = 8, 4, 2, 1, ","DF = 16, 8, ","DF = 8, 4, 2, 1, ","DF = 32, 16, 8, 4, ","DF = 2, 1, "
7.29,"DF = 8, 4, 2, 1, ","DF = 2, 1, ","DF = 16, 8, 4, ","DF = 8, 4, 2, ","DF = 16, 8, ","DF = 8, 4, 2, 1, ","DF = 8, 4, 2, 1, ","DF = 16, 8, ","DF = 8, 4, 2, 1, ","DF = 32, 16, 8, 4, ","DF = 2, 1, "
7.51,"DF = 8, 4, 2, 1, ","DF = 2, 1, ","DF = 16, 8, 4, ","DF = 8, 4, 2, ","0","DF = 8, 4, 2, 1, ","DF = 8, 4, 2, 1, ","DF = 16, 8, ","DF = 8, 4, 2, 1, ","DF = 32, 16, 8, 4, ","DF = 2, 1, "
7.68,"DF = 8, 4, 2, 1, ","DF = 2, 1, ","DF = 16, 8, 4, ","DF = 8, 4, 2, 1, ","DF = 16, 8, ","DF = 8, 4, 2, 1, ","DF = 8, 4, 2, 1, ","DF = 8, 4, ","DF = 8, 4, 2, 1, ","DF = 32, 16, 8, 4, ","DF = 2, 1, "
7.81,"DF = 8, 4, 2, 1, ","DF = 2, 1, ","DF = 16, 8, 4, ","DF = 8, 4, 2, 1, ","0","DF = 8, 4, 2, 1, ","DF = 8, 4, 2, 1, ","DF = 8, 4, ","DF = 8, 4, 2, 1, ","DF = 32, 16, 8, 4, ","DF = 2, 1, "
7.9,"DF = 8, 4, 2, 1, ","DF = 2, 1, ","DF = 16, 8, 4, ","DF = 8, 4, 2, 1, ","DF = 16, 8, ","DF = 16, 8, 4, ","0","DF = 8, 4, ","DF = 8, 4, 2, 1, ","DF = 32, 16, 8, 4, ","DF = 2, 1, "
