pH,hxk,pgi,pfk,ald,tpi,gapdh,gapdhr,pgm,eno,pyk,pdc
6.19,8 4 2 1 ,2 1 ,16 8 4 ,,16 8 ,16 8 4 2 ,8 4 2 1 ,4 2 ,8 4 2 1 ,16 8 4 2 ,4 2 1 
6.26,8 4 2 1 ,2 1 ,16 8 4 ,,,16 8 4 2 ,8 4 2 1 ,4 2 ,8 4 2 1 ,16 8 4 2 ,4 2 1 
6.32,8 4 2 1 ,2 1 ,16 8 4 ,8 4 2 ,16 8 ,16 8 4 ,,8 4 ,8 4 2 1 ,32 16 8 4 ,4 2 1 
6.41,8 4 2 1 ,2 1 ,16 8 4 ,,,8 4 2 1 ,8 4 2 1 ,16 8 ,8 4 2 1 ,32 16 8 4 ,4 2 1 
6.6,8 4 2 1 ,2 1 ,16 8 4 ,,16 8 ,8 4 2 1 ,8 4 2 1 ,16 8 ,8 4 2 1 ,32 16 8 4 ,4 2 1 
6.81,8 4 2 1 ,2 1 ,16 8 4 ,8 4 ,16 8 ,8 4 2 1 ,8 4 2 1 ,16 8 ,8 4 2 1 ,32 16 8 4 ,4 2 1 
7.6,8 4 2 1 ,2 1 ,16 8 4 ,8 4 ,,8 4 2 1 ,8 4 2 1 ,16 8 ,8 4 2 1 ,32 16 8 4 ,2 1 
7.29,8 4 2 1 ,2 1 ,16 8 4 ,8 4 2 ,16 8 ,8 4 2 1 ,8 4 2 1 ,16 8 ,8 4 2 1 ,32 16 8 4 ,2 1 
7.51,8 4 2 1 ,2 1 ,16 8 4 ,8 4 2 ,,8 4 2 1 ,8 4 2 1 ,16 8 ,8 4 2 1 ,32 16 8 4 ,2 1 
7.68,8 4 2 1 ,2 1 ,16 8 4 ,8 4 2 1 ,16 8 ,8 4 2 1 ,8 4 2 1 ,8 4 ,8 4 2 1 ,32 16 8 4 ,2 1 
7.81,8 4 2 1 ,2 1 ,16 8 4 ,8 4 2 1 ,,8 4 2 1 ,8 4 2 1 ,8 4 ,8 4 2 1 ,32 16 8 4 ,2 1 
7.9,8 4 2 1 ,2 1 ,16 8 4 ,8 4 2 1 ,16 8 ,16 8 4 ,,8 4 ,8 4 2 1 ,32 16 8 4 ,2 1 
