fullpHarray,hxk_sim_vmax,hxk_sim_std,hxk_exp_vmax,hxk_exp_std,hxk_percent_diff,pgi_sim_vmax,pgi_sim_std,pgi_exp_vmax,pgi_exp_std,pgi_percent_diff,pfk_sim_vmax,pfk_sim_std,pfk_exp_vmax,pfk_exp_std,pfk_percent_diff
6.19,0.06,0.00,0.10,0.01,40.18,0.29,0.08,0.26,0.08,12.44,0.32,0.02,0.32,0.01,0.54
6.26,0.05,0.00,0.08,0.01,38.98,0.34,0.09,0.29,0.09,16.41,0.34,0.02,0.34,0.01,0.20
6.32,0.51,0.01,0.46,0.03,11.49,0.31,0.08,0.29,0.07,8.82,0.33,0.02,0.33,0.02,1.28
6.41,0.59,0.01,0.55,0.01,6.57,0.36,0.10,0.33,0.10,10.54,0.36,0.02,0.36,0.01,1.80
6.6,0.68,0.01,0.63,0.01,6.80,0.49,0.13,0.43,0.11,13.67,0.39,0.02,0.39,0.01,1.70
6.81,0.61,0.01,0.56,0.06,9.26,0.67,0.18,0.60,0.17,12.21,0.43,0.02,0.43,0.02,0.65
7.06,0.62,0.01,0.56,0.06,11.85,0.91,0.25,0.82,0.27,11.60,0.44,0.02,0.45,0.04,2.39
7.29,0.59,0.01,0.57,0.04,4.86,1.21,0.33,1.04,0.31,16.72,0.44,0.02,0.44,0.05,1.76
7.51,0.54,0.01,0.53,0.03,2.43,1.24,0.34,1.05,0.28,18.34,0.38,0.02,0.38,0.05,0.43
7.68,0.54,0.01,0.49,0.08,8.47,1.49,0.40,1.16,0.32,28.41,0.36,0.02,0.36,0.04,0.23
7.81,0.52,0.01,0.49,0.03,5.76,1.47,0.40,1.12,0.37,31.19,0.34,0.02,0.34,0.03,0.11
7.9,0.51,0.00,0.47,0.07,8.07,1.36,0.37,1.12,0.29,21.45,0.32,0.02,0.31,0.03,1.59
fullpHarray,ald_sim_vmax,ald_sim_std,ald_exp_vmax,ald_exp_std,ald_percent_diff,tpi_sim_vmax,tpi_sim_std,tpi_exp_vmax,tpi_exp_std,tpi_percent_diff,gapdh_sim_vmax,gapdh_sim_std,gapdh_exp_vmax,gapdh_exp_std,gapdh_percent_diff
6.19,0.00,0.00,0.00,0.00,0.00,15.31,0.10,17.43,2.77,12.17,0.23,0.01,0.10,0.01,140.23
6.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.23,0.01,0.12,0.01,92.57
6.32,0.79,0.01,0.67,0.05,17.83,15.68,0.01,18.21,2.74,13.90,0.23,0.01,0.10,0.00,116.73
6.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.35,0.01,0.15,0.02,125.27
6.6,0.00,0.00,0.00,0.00,0.00,17.19,0.13,19.69,4.16,12.71,0.48,0.01,0.22,0.01,121.82
6.81,1.86,0.01,1.66,0.05,12.48,18.89,0.09,21.47,5.32,12.04,0.76,0.02,0.32,0.01,136.75
7.06,2.51,0.01,2.11,0.13,19.31,0.00,0.00,0.00,0.00,0.00,1.60,0.02,0.67,0.04,138.93
7.29,2.41,0.01,1.99,0.07,21.06,17.55,0.10,22.14,4.56,20.73,2.77,0.02,0.93,0.02,196.00
7.51,2.36,0.01,1.97,0.06,19.53,0.00,0.00,0.00,0.00,0.00,4.63,0.03,1.47,0.16,215.34
7.68,1.82,0.02,1.49,0.07,21.71,20.41,0.00,24.98,7.27,18.31,5.42,0.03,1.63,0.18,233.14
7.81,1.57,0.02,1.31,0.11,20.02,0.00,0.00,0.00,0.00,0.00,6.69,0.03,1.97,0.24,239.33
7.9,1.47,0.02,1.23,0.06,19.76,19.69,0.11,24.40,7.80,19.32,6.03,0.03,1.77,0.06,241.40
fullpHarray,gapdhr_sim_vmax,gapdhr_sim_std,gapdhr_exp_vmax,gapdhr_exp_std,gapdhr_percent_diff,pgm_sim_vmax,pgm_sim_std,pgm_exp_vmax,pgm_exp_std,pgm_percent_diff,eno_sim_vmax,eno_sim_std,eno_exp_vmax,eno_exp_std,eno_percent_diff
6.19,4.33,1.23,2.46,0.20,76.32,3.18,0.03,2.44,0.72,30.22,0.36,0.01,0.33,0.06,11.63
6.26,4.48,1.28,2.49,0.11,79.77,4.14,0.14,2.45,0.53,69.27,0.38,0.01,0.35,0.04,7.85
6.32,0.00,0.00,0.00,0.00,0.00,6.87,0.08,4.99,1.48,37.62,0.43,0.01,0.45,0.06,4.34
6.41,4.82,1.40,2.65,0.24,81.66,11.48,0.10,8.70,2.55,32.04,0.50,0.01,0.48,0.03,4.59
6.6,5.75,1.72,2.93,0.27,96.45,14.94,0.15,10.98,2.36,36.08,0.73,0.01,0.67,0.07,9.50
6.81,4.28,1.31,2.40,0.40,78.69,17.57,0.15,12.66,1.88,38.78,1.03,0.02,0.93,0.12,10.45
7.06,3.64,1.14,2.17,0.42,68.13,18.38,0.18,12.85,2.00,43.01,1.29,0.02,1.27,0.04,1.71
7.29,2.87,0.91,1.78,0.34,61.60,16.77,0.10,12.79,1.42,31.14,1.65,0.02,1.62,0.11,1.59
7.51,2.62,0.84,1.65,0.30,58.62,16.55,0.10,12.71,1.13,30.17,1.76,0.03,1.65,0.14,6.52
7.68,2.40,0.77,1.58,0.29,52.21,13.67,0.22,8.94,1.61,52.84,1.85,0.03,1.81,0.05,2.16
7.81,2.21,0.71,1.48,0.30,49.16,13.74,0.06,10.89,1.50,26.15,1.89,0.03,1.83,0.06,3.16
7.9,0.00,0.00,0.00,0.00,0.00,12.69,0.06,9.82,1.27,29.22,1.91,0.03,1.88,0.01,1.70
fullpHarray,pyk_sim_vmax,pyk_sim_std,pyk_exp_vmax,pyk_exp_std,pyk_percent_diff,pdc_sim_vmax,pdc_sim_std,pdc_exp_vmax,pdc_exp_std,pdc_percent_diff,,,,,
6.19,6.23,0.26,5.35,0.30,16.33,1.32,0.01,1.43,0.31,7.22,,,,,
6.26,6.53,0.28,5.50,0.25,18.60,1.46,0.02,1.31,0.16,11.77,,,,,
6.32,6.37,0.27,5.58,0.42,14.17,2.08,0.02,1.73,0.16,20.31,,,,,
6.41,6.47,0.27,5.71,0.37,13.30,2.15,0.02,2.03,0.43,6.09,,,,,
6.6,6.51,0.27,5.69,0.55,14.34,2.07,0.02,1.84,0.19,12.24,,,,,
6.81,7.21,0.30,6.45,0.54,11.78,2.21,0.02,1.99,0.25,10.77,,,,,
7.06,7.47,0.32,6.60,0.34,13.14,2.50,0.05,2.29,0.13,9.38,,,,,
7.29,7.77,0.33,6.79,0.33,14.47,2.47,0.04,2.28,0.07,8.46,,,,,
7.51,7.34,0.31,6.56,0.51,11.79,2.05,0.02,2.09,0.47,1.73,,,,,
7.68,7.47,0.32,6.60,0.46,13.17,1.97,0.02,1.90,0.49,3.68,,,,,
